base_recall,attack_recall,base_prec,attack_prec,alc,base_prec_as_sampled,attack_prec_as_sampled,alc_as_sampled,alc_low,alc_high,base_si,base_si_low,base_si_high,base_n,attack_si,attack_si_low,attack_si_high,attack_n,secret_column,base_count,attack_count
0.9420849420849421,0.9536679536679536,0.31439747724661504,0.9923428550472588,0.9888168909650973,0.3114754098360656,1.0,0.9999852779429039,0.9755935493031201,0.9999863633966135,0.11545687326709458,0.2566690406130678,0.37212591388016236,244,0.015314289905481893,0.9846857100945179,0.9999999999999998,247,AGEP__discretized,259,259
0.9652509652509652,0.9691119691119691,0.3069661267011071,0.992463041848703,0.989110361572941,0.304,1.0,0.999985575595216,0.9762972627473911,0.999986608736633,0.11332717146476684,0.2503025409687237,0.3636297124334905,250,0.015073916302594359,0.9849260836974059,1.0000000000000002,251,AGEP__discretized,259,259
0.9768339768339769,0.9768339768339769,0.3033806526723748,0.9925217314246451,0.9892506899006722,0.30039525691699603,1.0,0.9999856828627766,0.9766324817613689,0.9999866938960409,0.11228798195248019,0.24723666169613467,0.35952464364861486,253,0.014956537150709437,0.9850434628492903,0.9999999999999998,253,AGEP__discretized,259,259
0.9961389961389961,0.9961389961389961,0.30522564978938577,0.9812072181673999,0.9729372403120597,0.3023255813953488,0.9883720930232558,0.9833192389864741,0.9473724013415107,0.9947070814480679,0.11140690499514794,0.2495221972918118,0.36092910228695974,258,0.029661022184703234,0.9663767070750482,0.9960377292597514,258,AGEP__discretized,259,259
1.0,1.0,0.30406439596299606,0.9774741418765824,0.9676183627101129,0.30115830115830117,0.9845559845559846,0.9778865595238168,0.9390391008850913,0.9919734157738315,0.11107424452900214,0.248527273698495,0.35960151822749714,259,0.0330080374524957,0.9609701231503346,0.9939781606028303,259,AGEP__discretized,259,259
0.9595355383532723,0.9591836734693877,0.9612131531589941,0.9992963952525005,0.9816042856470135,0.9618628529519618,1.0,0.9997354297049786,0.9551262418732449,0.9997806411846408,0.01442545777401838,0.954000424271985,0.9684258820460033,2727,0.001407209494998951,0.998592790505001,1.0,2726,DEAR,2842,2842
0.9883884588318086,0.988036593947924,0.955233620076426,0.9993169140442391,0.9845211212556353,0.9558561765752936,1.0,0.9997734685210717,0.9629660125614612,0.9998090922273948,0.015233240815704874,0.9476169996685736,0.9628502404842785,2809,0.0013661719115219961,0.998633828088478,1.0,2808,DEAR,2842,2842
0.9943701618578465,0.9947220267417312,0.954442419730442,0.9993214987704938,0.9848905425378593,0.9550601556970983,1.0,0.9997775256002394,0.9639404371763475,0.9998121168753701,0.015316013916109261,0.9467844127723873,0.9621004266884966,2826,0.0013570024590123797,0.9986429975409876,1.0,2827,DEAR,2842,2842
0.9996481351161154,0.9992962702322308,0.9522220371933514,0.9986213263055905,0.9709409312869756,0.9528335093277015,0.9992957746478873,0.984860566303684,0.9356028914345835,0.9963464431837578,0.015628169998330277,0.9444079521941863,0.9600361221925166,2841,0.0023710569081955013,0.9974357978514928,0.9998068547596883,2840,DEAR,2842,2842
1.0,1.0,0.9518874359687322,0.9986222952096664,0.9711631161333796,0.9524982406755805,0.9992962702322308,0.9849778291118246,0.9361429284781856,0.9963723340068573,0.015677691565620155,0.9440485901859221,0.9597262817515423,2842,0.0023693909740455377,0.9974375997226437,0.9998069906966892,2842,DEAR,2842,2842
0.9864864864864865,0.9864864864864865,0.6868641711070489,0.9871815889576632,0.9590337377981732,0.6917808219178082,1.0,0.9999675461501895,0.8927127428198477,0.9999741681283641,0.14819527175713965,0.612766535228479,0.7609618069856187,146,0.025636822084674105,0.9743631779153261,1.0000000000000002,146,DENSITY__discretized,148,148
0.9932432432432432,0.9932432432432432,0.6823106208001433,0.9872665683203832,0.9598883948260758,0.6870748299319728,1.0,0.9999680432249527,0.8953936462458952,0.9999744789404836,0.14829902110753024,0.6081611102463782,0.7564601313539084,147,0.02546686335923376,0.9745331366407662,1.0,147,DENSITY__discretized,148,148
1.0,1.0,0.6844028647871758,0.9873504283661076,0.959888195729936,0.6891891891891891,1.0,0.9999678271220837,0.8953458597828416,0.9999743180298128,0.14754218224513405,0.6106317736646089,0.7581739559097429,148,0.025299143267784374,0.9747008567322154,0.9999999999999998,148,DENSITY__discretized,148,148
0.9837189374464439,0.9839331619537275,0.9728187470064726,0.9995821632249983,0.984265450181403,0.9732142857142857,1.0,0.9996266030971539,0.9624253420439034,0.9996861126002841,0.009369253847848813,0.9681341200825483,0.9775033739303971,4592,0.0008356735500030243,0.9991643264499968,0.9999999999999998,4593,DEYE,4668,4668
0.9970008568980291,0.9976435304198801,0.9706042529311392,0.9995879007197913,0.9856456870305855,0.9709926944563816,1.0,0.9996553774856646,0.9660487029600997,0.9997079523582098,0.009670598278468168,0.9657689537919051,0.9754395520703733,4654,0.0008241985604173774,0.9991758014395826,1.0,4657,DEYE,4668,4668
0.9989288774635818,0.9985004284490145,0.9704466649173038,0.9995882540859526,0.9857341562726345,0.9708342268925585,1.0,0.9996572497226255,0.9662827498044837,0.9997093582026302,0.009686586675097919,0.9656033715797548,0.9752899582548528,4663,0.0008234918280941583,0.9991765081719056,0.9999999999999998,4661,DEYE,4668,4668
0.9993573264781491,0.9993573264781491,0.9700309529367293,0.9991602350508305,0.971654704443857,0.9704180064308682,0.9995712754555198,0.9851742146472706,0.9373816151256713,0.9963396454135104,0.009750785404129103,0.9651555602346646,0.9749063456387937,4665,0.0014443706821076763,0.9984380497097767,0.9998824203918844,4665,DEYE,4668,4668
1.0,1.0,0.9700501974128062,0.9989467259422821,0.9645099778403584,0.9704370179948586,0.9993573264781491,0.9779300740879809,0.9243464631657098,0.9934373625073979,0.009744618758172452,0.96517788803372,0.9749225067918924,4668,0.0016693670675631544,0.9981120424085005,0.9997814094760636,4668,DEYE,4668,4668
0.9768211920529801,0.9776490066225165,0.9336162208236106,0.999188141114365,0.9876212278318681,0.934322033898305,1.0,0.9998475401021175,0.9710242520678625,0.9998689247452016,0.020022077186789833,0.9236051822302157,0.9436272594170055,2360,0.0016237177712699058,0.9983762822287301,1.0,2362,DPHY,2416,2416
0.9942052980132451,0.9950331125827815,0.9260463615513713,0.9992023023761342,0.9890797992615729,0.9267277268942548,1.0,0.9998635391951076,0.9747296191023552,0.9998815126651294,0.02086980150414619,0.9156114607992982,0.9364812623034444,2402,0.001595395247731668,0.9984046047522683,1.0,2404,DPHY,2416,2416
0.9966887417218543,0.9966887417218543,0.9241572331625028,0.9992036253447245,0.9893692117624842,0.9248338870431894,1.0,0.9998669784017751,0.9754588273188597,0.9998842546259809,0.02108835600960557,0.9136130551577,0.9347014111673055,2408,0.0015927493105505341,0.9984072506894492,0.9999999999999998,2408,DPHY,2416,2416
0.9991721854304636,0.9987582781456954,0.9239318489062328,0.9975502201897695,0.967667723554083,0.9246064623032312,0.9983423124740987,0.9778831659723449,0.9349219205655133,0.9924405781073069,0.021091145087734908,0.9133862763623654,0.9344774214501003,2414,0.00360990907957226,0.9957452656499833,0.9993551747295556,2413,DPHY,2416,2416
0.9995860927152318,0.9995860927152318,0.9239632970818941,0.9967254036508002,0.9568081688850617,0.9246376811594202,0.9975155279503105,0.9669046662203211,0.9172577834271362,0.9867286845922146,0.021082779460069534,0.9134219073518592,0.9345046868119288,2415,0.004270916922394896,0.9945899451896028,0.9988608621119976,2415,DPHY,2416,2416
1.0,1.0,0.9235814690519155,0.9967267568784415,0.9570416560304058,0.9242549668874173,0.9975165562913907,0.9670854383377568,0.9177434750928225,0.986795746542854,0.021127206827844858,0.9130178656379931,0.934145072465838,2416,0.0042691538613292,0.9945921799477768,0.998861333809106,2416,DPHY,2416,2416
0.9735791090629801,0.9745007680491552,0.9533790984106318,0.9993952061413481,0.9868152754414982,0.953928684127485,1.0,0.9997825137666492,0.9689790841948678,0.999814221009861,0.01463040345152411,0.9460638966848698,0.9606943001363939,3169,0.0012095877173041725,0.998790412282696,1.0000000000000002,3172,DREM,3255,3255
0.9935483870967742,0.9941628264208909,0.9472115199017185,0.9994071532713066,0.9885821148551192,0.9477427334570192,1.0,0.9998086707532813,0.9734965384802307,0.9998346582258862,0.015367711899625602,0.9395276639519057,0.9548953758515313,3234,0.0011856934573868383,0.9988143065426132,1.0,3236,DREM,3255,3255
0.997542242703533,0.9969278033794163,0.944654105194162,0.9994087955861519,0.9891392876400373,0.9451801663073607,1.0,0.9998176168591535,0.974903722253772,0.9998417675918222,0.015685038908812565,0.9368115857397558,0.9524966246485683,3247,0.0011824088276960465,0.998817591172304,1.0,3245,DREM,3255,3255
0.997542242703533,0.997542242703533,0.944654105194162,0.9994091593100809,0.9891458586137625,0.9451801663073607,1.0,0.9998176171913143,0.9749190330171744,0.9998417678799991,0.015685038908812565,0.9368115857397558,0.9524966246485683,3247,0.0011816813798380954,0.9988183186201619,1.0,3247,DREM,3255,3255
0.997542242703533,0.9978494623655914,0.944654105194162,0.9994093410042679,0.9891491410190963,0.9451801663073607,1.0,0.9998176173062348,0.9749266812775801,0.999841767979702,0.015685038908812565,0.9368115857397558,0.9524966246485683,3247,0.001181317991464148,0.9988186820085359,1.0,3248,DREM,3255,3255
0.997542242703533,0.9981566820276497,0.944654105194162,0.9994095225867408,0.9891524213779987,0.9451801663073607,1.0,0.9998176173925442,0.9749343248025771,0.9998417680545826,0.015685038908812565,0.9368115857397558,0.9524966246485683,3247,0.0011809548265185876,0.9988190451734814,1.0,3249,DREM,3255,3255
0.9987711213517665,0.9987711213517665,0.9434931833893421,0.9991026507904305,0.9839455003603323,0.9440172254690864,0.9996924023377423,0.9943278812796018,0.9639848845042378,0.9990020373722286,0.015830123353448466,0.9355781217126179,0.9514082450660664,3251,0.001686097210757742,0.9982596021850516,0.9999456993958094,3251,DREM,3255,3255
1.0,1.0,0.9429488265201991,0.9987968947063274,0.9787402673360351,0.9434715821812596,0.9993855606758832,0.9889554864071587,0.9542361518271506,0.9972538843190112,0.015892277710455094,0.9350026876649715,0.9508949653754266,3255,0.0020691753877810637,0.9977623070124368,0.9998314824002179,3255,DREM,3255,3255
0.969661216922299,0.9706725096915557,0.9842064906493061,0.9996667044505612,0.9782751738555305,0.9845298105336346,1.0,0.9993518340766387,0.9462961804442707,0.999472127065726,0.006408704969351531,0.9810021381646303,0.9874108431339819,5753,0.000666591098878011,0.9993334089011222,1.0000000000000002,5759,DVET,5933,5933
0.9937636945895837,0.9939322433844598,0.9827248358923326,0.9996744990653028,0.9805902208919762,0.9830393487109905,1.0,0.999410730431163,0.9527022656904245,0.9995144308603181,0.006619638703816766,0.9794150165404243,0.986034655244241,5896,0.0006510018693949293,0.9993489981306053,1.0000000000000002,5897,DVET,5933,5933
0.9973032192819822,0.9974717680768582,0.9817727378513793,0.9996756533548384,0.9816668388742402,0.9820855163089404,1.0,0.9994421027171112,0.9556263454945854,0.9995376842025203,0.006786038311046294,0.9783797186958562,0.9851657570069025,5917,0.0006486932903231324,0.9993513067096769,1.0,5918,DVET,5933,5933
