target_column,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
t1,1.0,0.0008841732979664014,1.0,0.0008841732979664014,0.0,1131,1131,0.7934506856227626,0.20654931437723742,1.0,1,0.7934506856227626,0.20654931437723742,1.0,1
t1,0.8385093167701864,0.14235190097259062,0.8322981366459627,0.14235190097259062,-0.021229652652101538,1131,1131,0.1134522457716709,0.7738945861876158,0.8873468319592867,161,0.11511188267182815,0.7669983327086665,0.8821102153804946,161
t1,0.7211538461538461,0.1839080459770115,0.7355769230769231,0.1839080459770115,0.03246066400457989,1131,1131,0.12103877154290299,0.6566241339912929,0.7776629055341959,208,0.11908496895035181,0.6717625691851389,0.7908475381354907,208
t1,0.5445544554455446,0.26790450928381965,0.6105610561056105,0.26790450928381965,0.10490529051371393,1131,1131,0.11145042067259642,0.48827145182234727,0.5997218724949437,303,0.10915534792426784,0.5545992284315417,0.6637545763558096,303
t1,0.4608294930875576,0.3837312113174182,0.5046082949308756,0.3837312113174182,0.062377721299551304,1131,1131,0.09338230876797221,0.4144820062258184,0.5078643149937906,434,0.09366371199029278,0.45773600746252363,0.5513997194528164,434
t1,0.4143356643356643,0.5057471264367817,0.4458041958041958,0.5057471264367817,0.04257450320659083,1131,1131,0.0804768506506513,0.3746687088356107,0.455145559486262,572,0.08119841190140586,0.40556653198784864,0.4867649438892545,572
t1,0.3800841514726508,0.6304155614500442,0.40813464235624125,0.6304155614500442,0.03664296477357892,1131,1131,0.07107940533974466,0.34518706201717636,0.416266467356921,713,0.0719648409062707,0.3726445162369429,0.4446093571432136,713
t1,0.3536439665471924,0.7400530503978779,0.3918757467144564,0.7400530503978779,0.048688028920931506,1131,1131,0.0646447117664054,0.3219902511904185,0.3866349629568239,837,0.0659994088416907,0.35937001753966663,0.42536942638135733,837
t1,0.3474226804123711,0.8576480990274093,0.38144329896907214,0.8576480990274093,0.043075996599431454,1131,1131,0.059822831305259616,0.31811312811733294,0.37793595942259256,970,0.06102246281704321,0.3513997316559765,0.4124221944730197,970
t1,0.3395225464190981,1.0,0.3704686118479222,1.0,0.03889971952053281,1131,1131,0.05511352592590141,0.31250900253295266,0.36762252845885407,1131,0.05620148196776176,0.342806336950829,0.3990078189185908,1131
